bookName,author,email,id,authorUrl,pmUrl,bookUrl,followerCount,pageCount,viewCount,chaptersCount,lastUpdateDate,dataCollectionDate,actionPlanned
Remythia : Cosmic Waltz,EvenSlash,,32413,https://www.royalroad.com/profile/164101,https://www.royalroad.com/private/send/164101,https://www.royalroad.com/fiction/32413/remythia-cosmic-waltz,1,1,22,1,MAY112020,15 Jun 2020 13:52:32 GMT,
The Soldier and the Assassin,KawaiiTsuki,,32878,https://www.royalroad.com/profile/161253,https://www.royalroad.com/private/send/161253,https://www.royalroad.com/fiction/32878/the-soldier-and-the-assassin,1,1,40,1,MAY292020,15 Jun 2020 13:52:32 GMT,
Dealing in Death of a Different Kind,Melvin Wong,,33045,https://www.royalroad.com/profile/156086,https://www.royalroad.com/private/send/156086,https://www.royalroad.com/fiction/33045/dealing-in-death-of-a-different-kind,1,1,14,1,JUNE042020,15 Jun 2020 13:52:32 GMT,
Small Burdens,Arkyung,,32779,https://www.royalroad.com/profile/167659,https://www.royalroad.com/private/send/167659,https://www.royalroad.com/fiction/32779/small-burdens,1,1,14,1,MAY262020,15 Jun 2020 13:52:32 GMT,
Kidnapped and Enslaved,TrulyUnknown,,32472,https://www.royalroad.com/profile/165589,https://www.royalroad.com/private/send/165589,https://www.royalroad.com/fiction/32472/kidnapped-and-enslaved,1,1,38,1,MAY142020,15 Jun 2020 13:52:32 GMT,
Teleported to the Future,Zererer 777,,32590,https://www.royalroad.com/profile/166272,https://www.royalroad.com/private/send/166272,https://www.royalroad.com/fiction/32590/teleported-to-the-future,1,1,22,1,MAY182020,15 Jun 2020 13:52:32 GMT,
Transported Jack a Many Moons Adventure.,Craig Craig,,32837,https://www.royalroad.com/profile/167954,https://www.royalroad.com/private/send/167954,https://www.royalroad.com/fiction/32837/transported-jack-a-many-moons-adventure,1,7,78,1,MAY282020,15 Jun 2020 13:52:32 GMT,
Role Playing Game,Legoking,,33285,https://www.royalroad.com/profile/163200,https://www.royalroad.com/private/send/163200,https://www.royalroad.com/fiction/33285/role-playing-game,1,6,16,1,JUNE122020,15 Jun 2020 13:52:32 GMT,
The Wedge Between Us,Maroone Blue,,32916,https://www.royalroad.com/profile/168398,https://www.royalroad.com/private/send/168398,https://www.royalroad.com/fiction/32916/the-wedge-between-us,1,6,28,2,JUNE072020,15 Jun 2020 13:52:32 GMT,
Apothecary's Price,ADragonWrites,,33275,https://www.royalroad.com/profile/170310,https://www.royalroad.com/private/send/170310,https://www.royalroad.com/fiction/33275/apothecarys-price,1,6,21,1,JUNE122020,15 Jun 2020 13:52:32 GMT,
